time,open,high,low,close
2011-08-17,10.9,10.9,10.9,10.9
2011-08-18,11.85,11.85,11.15,11.69
2011-08-19,11.7,11.7,11.7,11.7
2011-08-20,11.7,11.7,11.7,11.7
2011-08-21,11.7,11.7,11.7,11.7
2011-08-23,11.5,11.5,10.5,10.5
2011-08-24,10,10,10,10
2011-08-29,8,8,8,8
2011-08-31,8,8.31,5.25,8.22
2011-09-01,8.12,8.88,8,8.88
2011-09-03,8.89,8.89,8.89,8.89
2011-09-05,8,8,8,8
2011-09-06,8.5,8.5,8.5,8.5
2011-09-07,7.98,7.98,7.4,7.4
2011-09-12,5.8,6,5.65,5.97
2011-09-13,5.58,5.72,5.52,5.53
2011-09-14,5.12,5.24,5,5.13
2011-09-15,4.82,4.87,4.8,4.85
2011-09-16,4.87,4.87,4.87,4.87
2011-09-17,4.87,4.92,4.81,4.92
2011-09-18,4.9,4.9,4.9,4.9
2011-09-19,4.92,5.66,4.92,5.66
2011-09-20,5.7,5.79,5.66,5.66
2011-09-21,5.68,5.72,5.68,5.72
2011-09-22,5.7,5.72,5.7,5.72
2011-09-23,5.7,5.76,5.68,5.68
2011-09-24,6.05,6.05,6.05,6.05
2011-09-25,6.06,6.06,4.8,4.8
2011-09-26,4.85,4.92,4.85,4.92
2011-09-27,4.9,4.91,4.82,4.82
2011-09-28,4.81,4.82,4.81,4.82
2011-10-02,4.85,4.87,4.83,4.87
2011-10-03,4.86,5.3,4.8,4.98
2011-10-04,4.92,6.25,4.8,4.92
2011-10-05,4.88,4.99,4.8,4.8
2011-10-06,4.8,4.81,4.59,4.61
2011-10-07,4.57,4.57,3.99,3.99
2011-10-08,3.89,3.89,3.89,3.89
2011-10-09,3.99,4.51,3.99,4.51
2011-10-10,3.98,4.1,3.98,4.1
2011-10-11,3.95,3.99,3.93,3.93
2011-10-12,3.93,3.97,3.93,3.97
2011-10-13,4.05,4.05,4.05,4.05
2011-10-16,3.92,3.92,3.92,3.92
2011-10-19,2.22,2.29,2.22,2.24
2011-10-20,2.22,2.27,2.22,2.27
2011-10-23,2.99,2.99,2.92,2.92
2011-10-24,2.66,2.72,2.66,2.72
2011-10-25,2.72,3,2.67,2.69
2011-10-27,3.07,4.36,3.07,4.2
2011-10-28,3.69,4.4,3.69,3.95
2011-10-29,3.85,3.85,3.2,3.5
2011-10-30,3.25,3.55,3.2,3.3
2011-10-31,3.32,3.33,3.32,3.33
2011-11-03,3.27,3.55,3.21,3.55
2011-11-04,3.21,3.21,3,3
2011-11-05,2.95,2.95,2.95,2.95
2011-11-07,3.08,3.08,3.08,3.08
2011-11-08,3.09,3.3,3.09,3.3
2011-11-09,3.25,3.3,2.95,3.3
2011-11-10,3.3,3.3,3.3,3.3
2011-11-11,3.35,3.35,3.35,3.35
2011-11-12,3.35,3.35,3.35,3.35
2011-11-13,2.95,2.95,2.47,2.47
2011-11-14,2.99,3,2.5,2.5
2011-11-15,2.51,3,2.51,3
2011-11-16,3,3,2.5,2.99
2011-11-17,2.5,2.79,2.5,2.5
2011-11-18,2.5,2.5,2.43,2.43
2011-11-19,2.37,2.37,2.37,2.37
2011-11-20,2.45,3,2.25,2.25
2011-11-21,2.53,2.59,2.46,2.59
2011-11-23,2.54,3,2.54,3
2011-11-24,2.5,15,2.5,2.75
2011-11-25,2.77,2.77,2.77,2.77
2011-11-27,2.67,2.78,2.66,2.66
2011-11-28,2.69,3.23,2.69,2.72
2011-11-29,3.19,3.19,3.19,3.19
2011-11-30,3.46,3.48,3.3,3.42
2011-12-01,3.45,3.45,3.04,3.04
2011-12-02,2.93,2.93,2.93,2.93
2011-12-04,2.82,2.99,2.82,2.93
2011-12-05,2.9,3.25,2.89,2.98
2011-12-06,3.05,3.35,3.05,3.3
2011-12-07,3.27,3.5,2.95,3.3
2011-12-09,3.2,3.2,3,3.2
2011-12-10,3.17,3.37,3.17,3.27
2011-12-11,3.37,3.6,3.37,3.48
2011-12-12,3.25,3.59,3.25,3.56
2011-12-13,3.42,3.49,3.42,3.47
2011-12-14,3.39,3.45,3.39,3.45
2011-12-15,3.25,3.5,3.25,3.44
2011-12-17,3.25,3.5,3.25,3.5
2011-12-18,3.5,3.98,3.5,3.85
2011-12-19,4.75,4.75,4.53,4.55
2011-12-20,4.38,4.38,4.38,4.38
2011-12-21,4.19,4.19,4.17,4.17
2011-12-22,3.86,4.35,3.84,4.22
2011-12-23,4.33,4.33,4.33,4.33
2011-12-24,4.32,4.32,4.27,4.27
2011-12-25,4.27,4.33,4.27,4.33
2011-12-26,4.33,4.33,4.29,4.29
2011-12-27,4.29,4.3,4.25,4.3
2011-12-28,4.3,4.5,4.3,4.5
2011-12-29,4.26,4.5,4.21,4.21
2011-12-30,4.39,4.58,4.39,4.58
2011-12-31,4.58,5,4.58,5
2012-01-01,5,5,5,5
2012-01-02,5.32,5.32,5.14,5.29
2012-01-03,4.93,5.57,4.93,5.57
2012-01-04,5.72,6.65,5.72,6.65
2012-01-05,6.65,6.9,6,6
2012-01-06,6.8,6.8,6.8,6.8
2012-01-07,6.9,7,6.9,7
2012-01-08,6.99,6.99,6.23,6.3
2012-01-09,6.24,7.14,6.24,7.14
2012-01-10,7.14,7.33,6.25,7
2012-01-11,6.95,7.38,6.51,6.51
2012-01-12,6.8,7.36,6.6,6.6
2012-01-13,6.5,6.5,6.3,6.3
2012-01-14,7.15,7.15,7.15,7.15
2012-01-15,6.2,7.1,6.2,7.1
2012-01-16,6.5,6.9,6,6
2012-01-17,5.99,7.1,5.99,7.1
2012-01-18,5.52,7,5.52,6.22
2012-01-19,6.9,6.95,6.55,6.95
2012-01-20,6.3,6.77,6.28,6.77
2012-01-21,6.79,6.83,6.03,6.79
2012-01-22,6.5,6.52,6,6.52
2012-01-23,6.52,6.57,6,6.55
2012-01-24,6.26,6.86,6,6.31
2012-01-25,6.27,6.3,5.5,5.5
2012-01-26,3.8,6.03,3.8,5.88
2012-01-27,4.91,4.91,4.91,4.91
2012-01-28,5.89,5.9,5.3,5.5
2012-01-29,5.3,5.58,5.3,5.58
2012-01-30,5.7,6.22,3.8,5.3
2012-01-31,5.53,5.99,5.52,5.88
2012-02-01,5.99,6.28,5.89,6.28
2012-02-02,6.29,6.35,5.93,6.3
2012-02-03,6.35,6.5,5.94,5.94
2012-02-04,5.93,6.15,5.6,5.6
2012-02-05,5.6,5.9,5.2,5.6
2012-02-06,5.5,5.88,5.5,5.69
2012-02-07,5.79,5.87,5.66,5.87
2012-02-08,5.52,5.89,5.51,5.89
2012-02-09,5.88,5.88,5.8,5.88
2012-02-10,5.71,5.71,5.5,5.5
2012-02-11,5.78,5.78,5.55,5.67
2012-02-12,5.53,5.79,5.5,5.79
2012-02-13,5.2,5.8,4.56,4.89
2012-02-14,4.9,5.08,4.69,4.69
2012-02-15,4.5,4.98,4.15,4.51
2012-02-16,4.67,4.8,4.5,4.67
2012-02-17,4.67,4.73,4.14,4.23
2012-02-18,4.38,4.38,4.3,4.38
2012-02-19,4.72,4.72,4.4,4.44
2012-02-20,4.52,4.58,4.3,4.58
2012-02-21,4.47,4.59,4.46,4.51
2012-02-22,4.59,5.22,4.55,5.22
2012-02-23,5.12,5.22,4.95,4.95
2012-02-24,5.11,5.11,5,5
2012-02-25,4.79,5.07,4.78,4.98
2012-02-26,4.97,5.1,4.95,5.04
2012-02-27,5.09,5.1,4.71,4.88
2012-02-28,4.97,5,4.85,4.99
2012-02-29,4.99,5.05,4.9,5
2012-03-01,4.99,4.99,4.64,4.79
2012-03-02,4.81,4.99,4.6,4.65
2012-03-03,4.78,4.81,4.77,4.81
2012-03-04,4.8,5.06,4.77,5.06
2012-03-05,5,5.05,4.95,4.98
2012-03-06,5.05,5.09,4.93,4.93
2012-03-07,4.94,5.08,4.87,5.01
2012-03-08,5.01,5.07,4.93,4.93
2012-03-09,4.91,4.99,4.85,4.94
2012-03-10,4.94,5,4.84,5
2012-03-11,4.85,4.99,4.85,4.99
2012-03-12,4.99,5.32,4.96,5.3
2012-03-13,5.32,5.44,5.27,5.27
2012-03-14,5.27,5.43,5.27,5.39
2012-03-15,5.3,5.41,5.26,5.26
2012-03-16,5.38,5.42,5.38,5.42
2012-03-17,5.41,5.42,5.24,5.25
2012-03-18,5.24,5.37,4.83,4.83
2012-03-19,4.82,4.97,4.79,4.79
2012-03-20,4.9,4.96,4.9,4.96
2012-03-21,4.86,4.98,4.72,4.91
2012-03-22,4.73,4.89,4.6,4.78
2012-03-23,4.72,4.83,4.62,4.83
2012-03-24,4.61,4.84,4.54,4.54
2012-03-25,4.6,4.75,4.54,4.73
2012-03-26,4.54,4.97,4.54,4.84
2012-03-27,4.75,4.95,4.72,4.93
2012-03-28,4.93,4.93,4.77,4.84
2012-03-29,4.81,4.91,4.76,4.88
2012-03-30,4.9,4.92,4.89,4.9
2012-03-31,4.89,4.89,4.77,4.89
2012-04-01,4.8,5.04,4.78,5.04
2012-04-02,5.04,5.04,4.86,4.99
2012-04-03,4.92,5.01,4.86,5.01
2012-04-04,4.99,5.04,4.89,5
2012-04-05,4.9,4.99,4.81,4.99
2012-04-06,4.94,4.94,4.7,4.7
2012-04-07,4.8,4.8,4.69,4.76
2012-04-08,4.7,4.85,4.7,4.75
2012-04-09,4.75,4.87,4.75,4.8
2012-04-10,4.86,4.92,4.78,4.92
2012-04-11,4.87,4.93,4.73,4.93
2012-04-12,4.88,4.95,4.81,4.93
2012-04-13,4.94,5.01,4.94,4.96
2012-04-14,4.96,4.99,4.92,4.99
2012-04-15,4.93,4.98,4.93,4.98
2012-04-16,4.99,4.99,4.95,4.98
2012-04-17,4.98,5.18,4.98,5.16
2012-04-18,5.17,5.18,5.06,5.13
2012-04-19,5.15,5.38,5.09,5.38
2012-04-20,5.4,5.43,5.19,5.24
2012-04-21,5.24,5.25,5.17,5.17
2012-04-22,5.2,5.25,5,5
2012-04-23,4.99,5.15,4.98,5.08
2012-04-24,5.12,5.14,4.86,5.14
2012-04-25,5.1,5.12,4.86,4.98
2012-04-26,5.03,5.08,4.99,5.04
2012-04-27,5.07,5.07,4.85,4.91
2012-04-28,4.92,4.96,4.81,4.91
2012-04-29,4.92,5.02,4.87,5
2012-04-30,4.94,5.04,4.86,4.97
2012-05-01,5.01,5.15,5.01,5.06
2012-05-02,5.06,5.13,5.05,5.1
2012-05-03,5.1,5.15,5.07,5.07
2012-05-04,5.09,5.11,5.04,5.04
2012-05-05,5.06,5.1,5.02,5.08
2012-05-06,5.05,5.08,4.97,5.05
2012-05-07,5.06,5.08,4.99,5.02
2012-05-08,5.02,5.08,5.01,5.02
2012-05-09,5.02,5.04,4.87,4.87
